id_halte_survei,nama,lat,lon,geom_wkt
HLT-001,Halte Simpang Pekayon,-6.25645,106.99116,POINT(106.99116 -6.25645)
HLT-002,Halte Pekayon Ahmad Yani,-6.25669,106.99103,POINT(106.99103 -6.25669)
HLT-003,Halte Revo Mall,-6.25558,106.99061,POINT(106.99061 -6.25558)
HLT-004,Halte Rs Elisabeth,-6.2771474,106.9919647,POINT(106.9919647 -6.2771474)
HLT-005,Halte Pesona Metropolitan Bekasi 1,-6.2917104,106.9848925,POINT(106.9848925 -6.2917104)
HLT-006,Halte Pesona Metropolitan Bekasi 2,-6.29145,106.98476,POINT(106.98476 -6.29145)
HLT-007,Halte STISIP Bekasi 1,-6.30884,106.98381,POINT(106.98381 -6.30884)
HLT-008,Halte STISIP Bekasi 2,-6.30881,106.98365,POINT(106.98365 -6.30881)
HLT-009,Halte Simpang Sawo,-6.3104,106.98487,POINT(106.98487 -6.3104)
HLT-010,Halte Simpang Sawo 2,-6.31048,106.98482,POINT(106.98482 -6.31048)
HLT-011,Halte Perum Sapta Taruna III,-6.2833512,106.989219,POINT(106.989219 -6.2833512)
HLT-012,Halte Masjid At-Taqwa 2,-6.30268,106.98334,POINT(106.98334 -6.30268)
HLT-013,Halte Masjid At-Taqwa 1,-6.30257,106.98347,POINT(106.98347 -6.30257)
HLT-014,Halte univ trisakti 2,-6.2724127,106.9930558,POINT(106.9930558 -6.2724127)
HLT-015,Halte Univ Trisakti 1,-6.2725795,106.9931485,POINT(106.9931485 -6.2725795)
